competence,skill,label,prerequis,materiel,liens
C4 Choisir les moyens adaptés aux contraintes techniques de la production,SF1.5: Proposer des moyens respectant la demande artistique.,"Focus : Adéquation Moyens/Besoins.Capacité à justifier le choix d'une caméra, d'une optique ou d'une source lumineuse en fonction du scénario et du budget.",Réaliser une Chromakey ,Régie vidéo complète ,Anglais
C4 Choisir les moyens adaptés aux contraintes techniques de la production,"SF1.7: Choisir des outils compatibles (techniques, spatiaux, financiers, sécurité).","Focus : Adéquation Moyens/Besoins.Capacité à justifier le choix d'une caméra, d'une optique ou d'une source lumineuse en fonction du scénario et du budget.",Réaliser une LumaKey ,Caméra de reportage ,Physique
C4 Choisir les moyens adaptés aux contraintes techniques de la production,Choisir les moyens adaptés aux contraintes techniques de la production,"Focus : Adéquation Moyens/Besoins.Capacité à justifier le choix d'une caméra, d'une optique ou d'une source lumineuse en fonction du scénario et du budget.",Utilisation MUX/DEMUX,Chaine caméra complète ,Tes
"C5	Sélectionner, inventorier et relever les informations nécessaires (repérages)","SF2.1: Localiser et relever les informations (données, mesures).","Focus : Anticipation.Savoir lire un lieu : arrivées électriques, course du soleil, acoustique (pour le son), contraintes d'accès.",Branchement Son,Documentation technique ,EEJ 
"C5	Sélectionner, inventorier et relever les informations nécessaires (repérages)","SF2.2: Rédiger un compte rendu de repérages (plans, photos).","Focus : Anticipation.Savoir lire un lieu : arrivées électriques, course du soleil, acoustique (pour le son), contraintes d'accès.",Utilisation du Patch ,Console lumière DMX DOT2,CAA 
C6	Planifier et organiser l’installation des équipements en anticipant les risques,"SF2.3: Choisir les dispositifs de sécurité adaptés.
",Focus : Organisation et Sécurité.Planification du chargement/déchargement et de l'installation. Gestion de la co-activité sur le plateau pour éviter les accidents.,Utilisation de la caméra ,Régie mobile complète,
C6	Planifier et organiser l’installation des équipements en anticipant les risques,SF2.4: Synchroniser les opérations et organiser le déroulement.,Focus : Organisation et Sécurité.Planification du chargement/déchargement et de l'installation. Gestion de la co-activité sur le plateau pour éviter les accidents.,Notions de focale,Grill lumière ,
C7	Concevoir le dispositif de prise de vue,"SF2.5: Proposer et discuter des choix de mise en image.
",Focus : Prévisualisation Technique.Traduction du découpage technique en plan au sol précis. Choix des focales pour la narration.,Notions de profondeur de champs ,,
C7	Concevoir le dispositif de prise de vue,"SF2.6: Définir emplacements caméra et focales.
",Focus : Prévisualisation Technique.Traduction du découpage technique en plan au sol précis. Choix des focales pour la narration.,,,
C7	Concevoir le dispositif de prise de vue,"SF2.8: Rédiger un plan au sol d’implantation caméra.
",Focus : Prévisualisation Technique.Traduction du découpage technique en plan au sol précis. Choix des focales pour la narration.,,,
C7	Concevoir le dispositif de prise de vue,SF2.9: Rédiger une liste de matériels (liste bijoute).,Focus : Prévisualisation Technique.Traduction du découpage technique en plan au sol précis. Choix des focales pour la narration.,,,
C8	Concevoir le dispositif lumière,SF2.3: Choisir les dispositifs de sécurité.,Focus : Design Lumière.Élaboration du plan de feu. L'étudiant doit savoir dessiner son implantation lumière en utilisant les symboles normalisés et prévoir la distribution électrique associée.,,,
C8	Concevoir le dispositif lumière,"SF2.5bis: Proposer et discuter des choix de mise en lumière.
",Focus : Design Lumière.Élaboration du plan de feu. L'étudiant doit savoir dessiner son implantation lumière en utilisant les symboles normalisés et prévoir la distribution électrique associée.,,,
C8	Concevoir le dispositif lumière,SF2.7: Définir les sources et leur implantation.,Focus : Design Lumière.Élaboration du plan de feu. L'étudiant doit savoir dessiner son implantation lumière en utilisant les symboles normalisés et prévoir la distribution électrique associée.,,,
C8	Concevoir le dispositif lumière,"SF2.8bis: Rédiger un plan de feu (lighting plot).
",Focus : Design Lumière.Élaboration du plan de feu. L'étudiant doit savoir dessiner son implantation lumière en utilisant les symboles normalisés et prévoir la distribution électrique associée.,,,
C8	Concevoir le dispositif lumière,SF2.9: Rédiger une liste de matériel.,Focus : Design Lumière.Élaboration du plan de feu. L'étudiant doit savoir dessiner son implantation lumière en utilisant les symboles normalisés et prévoir la distribution électrique associée.,,,
